id,csv_ingredient,base_type,protein_type,vegetable_type
208,"chick peas
red chilli 
turmeric
chole masala
tomato
tomato paste
onion
cooking oil
garlic
ginger
coriander
coriander powde
cinnamon
salt
bay leaf
cloves
cumin 
lemon
water
anise",,,onions
209,"chick peas
red chilli 
turmeric
chole masala
tomato
tomato paste
onion
cooking oil
garlic
ginger
coriander
coriander powde
cinnamon
salt
bay leaf
cloves
cumin 
lemon
water
anise",,,garlic
210,"chick peas
red chilli 
turmeric
chole masala
tomato
tomato paste
onion
cooking oil
garlic
ginger
coriander
coriander powde
cinnamon
salt
bay leaf
cloves
cumin 
lemon
water
anise",,,ginger
211,"chick peas
red chilli 
turmeric
chole masala
tomato
tomato paste
onion
cooking oil
garlic
ginger
coriander
coriander powde
cinnamon
salt
bay leaf
cloves
cumin 
lemon
water
anise",,,dhania
212,"potato
arrowroot
green banana
onion
tomato
cooking oil
salt
water",potatoes,,
213,"potato
arrowroot
green banana
onion
tomato
cooking oil
salt
water",,,tomatoes
214,"potato
arrowroot
green banana
onion
tomato
cooking oil
salt
water",,,onions
215,"yam
potato
onion
tomato
carrot
salt
cooking oil
water",potatoes,,
216,"yam
potato
onion
tomato
carrot
salt
cooking oil
water",,,tomatoes
217,"yam
potato
onion
tomato
carrot
salt
cooking oil
water",,,onions
218,"yam
potato
onion
tomato
carrot
salt
cooking oil
water",,,carrots
219,"sweet potato
onion
tomato
cooking oil
peanut butter
salt
water",potatoes,,
220,"sweet potato
onion
tomato
cooking oil
peanut butter
salt
water",,,tomatoes
221,"sweet potato
onion
tomato
cooking oil
peanut butter
salt
water",,,onions
222,"potato
arrowroot
green banana
carrot
onions",potatoes,,
223,"potato
arrowroot
green banana
carrot
onions",,,tomatoes
224,"potato
arrowroot
green banana
carrot
onions",,,onions
225,"potato
arrowroot
green banana
carrot
onions",,,carrots
226,"tomato
cooking oil
salt
water",,,tomatoes
227,"tomato
cooking oil
salt
water",,,onions
228,"tomato
cooking oil
salt
water",,,carrots
229,"sweet potato
water
oil",potatoes,,
230,"potato
ginger
garlic
green chilli
coriander leaves
gram flour
salt
red chilli 
turmeric
lemon
cooking oil
water
bicarbonate of soda",chapati,,
231,"potato
ginger
garlic
green chilli
coriander leaves
gram flour
salt
red chilli 
turmeric
lemon
cooking oil
water
bicarbonate of soda",,,garlic
232,"potato
ginger
garlic
green chilli
coriander leaves
gram flour
salt
red chilli 
turmeric
lemon
cooking oil
water
bicarbonate of soda",,,ginger
233,"potato
ginger
garlic
green chilli
coriander leaves
gram flour
salt
red chilli 
turmeric
lemon
cooking oil
water
bicarbonate of soda",,,dhania
234,"potato
cooking oil",potatoes,,
235,"green banana
onion
tomato
salt
cooking oil
water",,,tomatoes
236,"green banana
onion
tomato
salt
cooking oil
water",,,onions
237,"beef
green banana
onion
tomato
coriander leaves
potato
salt
cooking fat
water",potatoes,,
238,"beef
green banana
onion
tomato
coriander leaves
potato
salt
cooking fat
water",,beef,
